Record Length,10000,Points,-1.9996000E-6,20.0000014E-3,
Sample Interval,400.00000370E-12,s,-1.9992001E-6,18.0000011E-3,
Trigger Point,4.99900028E3,Samples,-1.9988001E-6,16.0000008E-3,
,,,-1.9984000E-6,18.0000011E-3,
,,,-1.9980000E-6,18.0000011E-3,
,,,-1.9976001E-6,18.0000011E-3,
Source,CH1,,-1.9972001E-6,20.0000014E-3,
Vertical Units,V,,-1.9967999E-6,20.0000014E-3,
Vertical Scale,50.00000237E-3,,-1.9964000E-6,16.0000008E-3,
Vertical Offset,0,,-1.9960000E-6,16.0000008E-3,
Horizontal Units,s,,-1.9956001E-6,16.0000008E-3,
Horizontal Scale,400.00000534E-9,,-1.9952001E-6,16.0000008E-3,
Pt Fmt,Y,,-1.9948000E-6,18.0000011E-3,
Yzero,-1.3600000,,-1.9944000E-6,14.0000004E-3,
Probe Atten,1.000000,,-1.9940001E-6,14.0000004E-3,
,,,-1.9936001E-6,14.0000004E-3,
Note,DPO3012 - 8:41:03   2021/1/6,,-1.9932002E-6,16.0000008E-3,
,,,-1.9928000E-6,14.0000004E-3,
,,,-1.9924000E-6,16.0000008E-3,
,,,-1.9920001E-6,18.0000011E-3,
,,,-1.9916001E-6,14.0000004E-3,
,,,-1.9912000E-6,14.0000004E-3,
,,,-1.9908000E-6,16.0000008E-3,
,,,-1.9904001E-6,16.0000008E-3,
,,,-1.9900001E-6,14.0000004E-3,
,,,-1.9896002E-6,14.0000004E-3,
,,,-1.9892000E-6,14.0000004E-3,
,,,-1.9888000E-6,14.0000004E-3,
,,,-1.9884001E-6,14.0000004E-3,
,,,-1.9880001E-6,14.0000004E-3,
,,,-1.9875999E-6,18.0000011E-3,
,,,-1.9872000E-6,14.0000004E-3,
,,,-1.9868000E-6,14.0000004E-3,
,,,-1.9864001E-6,16.0000008E-3,
,,,-1.9860001E-6,14.0000004E-3,
,,,-1.9856000E-6,14.0000004E-3,
,,,-1.9852000E-6,14.0000004E-3,
,,,-1.9848001E-6,18.0000011E-3,
,,,-1.9844001E-6,18.0000011E-3,
,,,-1.9839999E-6,20.0000014E-3,
,,,-1.9836000E-6,16.0000008E-3,
,,,-1.9832000E-6,14.0000004E-3,
,,,-1.9828001E-6,10.0000007E-3,
,,,-1.9824001E-6,14.0000004E-3,
,,,-1.9820000E-6,14.0000004E-3,
,,,-1.9816000E-6,14.0000004E-3,
,,,-1.9812001E-6,12.0000001E-3,
,,,-1.9808001E-6,14.0000004E-3,
,,,-1.9804002E-6,14.0000004E-3,
,,,-1.9800000E-6,14.0000004E-3,
,,,-1.9796000E-6,10.0000007E-3,
,,,-1.9792001E-6,14.0000004E-3,
,,,-1.9788001E-6,30.00000119E-3,
,,,-1.9784000E-6,74.000000954E-3,
,,,-1.9780000E-6,110.0000069E-3,
,,,-1.9776000E-6,130.0000101E-3,
,,,-1.9772001E-6,154.00001407E-3,
,,,-1.9768001E-6,160.00001132E-3,
,,,-1.9764000E-6,158.00000727E-3,
,,,-1.9760000E-6,170.00000179E-3,
,,,-1.9756001E-6,172.00000584E-3,
